DK_kode,DK_art,FAO_kode,GB_art,Latin
DVH,Jomfruhummer,NEP,Norway Lobster,Nephrops norvegieus
SPE,Sperling,NOP,Norway Pout,Trisopterus esmarkii
GLO,Guldørred,ONA,Golden trout,Oncorhynchus aguabonita
SLB,Slangekrabbe,OOA,Snake Blenny,Ophidion barbatum
PFF,Plettet Fløjfisk,OPH,Spotted Dragonet,Callionymus maculatus
OSB,Orange Savbug,ORY,Orange Roughy,Hoplostethus atlanticus
OTHER,*Andre,OTHER,*Other,Other
OES,Østers,OYF,European Flat Oyster,Ostrea edulis
SHO,Stillehavsøsters,OYG,Pacific cupped oyster,Crassostrea gigas
SSN,Strandsnegl,PER,Periwinkles,Littorina spp.
MSV,Marsvin,PHR,Porpoise,Phocoena phocoena
PIL,Sardin,PIL,European Pilchard,Sardina pilchardus
HSG,Håising,PLA,Long-Rough Dab,Hippoglossoides platessoides
RSP,Rødspætte,PLE,European Plaice,Pleuronectes platessa
HLT,Helt,PLN,Pollan,Coregorius lavaretus
HBR,Havbrasen (Blankesten),POA,Atlantic pomfret,Brama brama
PLT,Polar torsk,POC,Polar cod,Boreogadus Saida
GLY,Glyse,POD,Poor Cod,Trisoptenus minutus eapelanus
MSJ,Mørksej,POK,Saithe,Pollachius virens
LSJ,Lyssej,POL,Pollack,Pollachius virens
SHJ,Sildehaj,POR,Porbeagle,Lamna nasus
DVR,Dybvandsrejer,PRA,North Deepwater Prawn,Paudalus borealis
REB,Lille rødfisk,REB,Beaked Redfish,Sebastes mentella
RDF,Stor rødfisk,REG,Golden Redfish,Sebastes marinus
SKD,Skade,RJB,Blue skate,Raja batis
SMR,Sømrokke,RJC,Thornback ray,Raja clavata
BLR,Blond rokke,RJH,Blond ray,Raja brachyuran
SOR,Storplettet rokke,RJM,Spotted ray,Raja montagui
PLR,Pletrokke,RJN,Cuckoo ray,Leucoraja naevus
TRB,Tærbe,RJR,Starry ray,Raja radiata
SKO,Skolæst,RNG,Roundnose Grenadier,Coryphaenoides rupestris
LKS,Laks,SAL,Atlantic Salmon,Salmo salon
TBS,Tobis,SAN,Sandeels,Ammodytes spp
GBR,Guldbrasen,SBG,Gilt-head seabream,Chrysophrys aurata
SBS,Spidstandet Blankesten,SBR,Blackspot Seabream,Pagellus bogaraveo
ULK,Ulk,SCU,Sculpin,Myoxocephalus scorpius
KMS,Kammusling,SCX,Scallop,Pecten maximus
SFS,Strømpebåndsfisk,SFS,Silver Scabbardfish,Lepidopus caudatus
RIH,Ringhaj,SHO,Blackmouth Catshark,Galeus melastomus
ROK,Rokkearter,SKA,Rays + Skates,Raja spp.
HST,Hundestejlearter,SKB,Sticklebacks,Gasterosteidae
SML,Smelt,SME,European Smelt,Osmerus eperlanus
TNG,Tunge,SOL,Common Sole,Solea solea
MAL,Malle,SOM,Sheat-Fish,Silurus glanis
BRS,Brisling,SPR,Sprat,Sprattus sprattus
SQC,Tiarmede blæksprutter (loli,SQC,Common squids nei,Loligo spp.
KNA,Atlantiske knurhanearter,SRA,Atlantic searobins,Prionotus spp
STJ,Søstjerne,STH,Starfish,Asterias rubens
KIL,Kildeørred,SVF,Brook Trout,Salvelinus fontinalis
SVF,Sværdfisk,SWO,Swordfish,Xiphias gladius
SRH,Småplettet Rødhaj,SYC,Lesser Spotted Dogfish,Scyliorhinus canicula
TIG,Tigerhaj,TIG,Tiger Shark,Galeocerdo cuvier
TOT,**Total,TOT,**Total,Total
RBO,Regnbueørred,TRR,Rainbow Trout,Oncorhynchus mykiss
ORD,Havørred,TRS,Sea Trout,Salmo trutta
SSI,Stavsild,TSD,Twaite Shad,Alosa fallax
PGH,Pighvarre,TUR,Turbot,Psetta maxima
TRU,Trugmusling,ULO,Solid surf clam,Spisula Solida
SPN,Søpindsvin,URS,Sea Urchin,Echinus esculentus
USB,Berggylt,USB,Ballan wrasse,Labrus bergylta
BRO,Brosme,USK,Tusk,Brosme brosme
UVU,Søsalat,UVU,Sea lettuce,Ulva lactuca
FHK,Firtrådet Havkvabbe,VDR,Fourbeard Rockling,Rhinonemuscimbrius
FJS,Alm. fjæsing,WEG,Greater Weever,Trachimus draco
WEX,Fjæsingarter,WEX,Weevers nei,Trachinus spp.
BLH,Blåhvilling,WHB,Blue Whiting,Micromsistius poutassou
KNK,Konksnegl,WHE,Whelk,Buccinum undatum
HVL,Hvilling,WHG,Whiting,Merlaugius merlangus
SKI,Skærising,WIT,Witch Flounder,Glyptocephalus cynoglossus
TBK,Tobiskonge,YEZ,Great Sandeel,Hyperoplus lanceolatus
NTB,Nøgentobis,ZGS,Smooth Sandeel,Gymnammodytes semisquamatus
KBS,Krebs,AAS,Crayfish,Astacus astacus
SQR,Europæisk loligo,SQR,European squid,Loligo vulgaris
BON,Tun (Rygstribet pelamide),BON,Atlantic bonito,Sarda sarda
